phi,delta,H,G
0.21353055870644158,-0.07029776410068375,-0.15661643228795286,13.080095412406239
0.21456077688113076,-0.06926496812135108,-0.21352773466653735,13.053576777277549
0.21559071453849074,-0.06821916146472112,-0.27055279064051346,13.026296927949407
0.21662030882468397,-0.06716037327515603,-0.3276885301761338,12.998255524791508
0.21764949658297442,-0.0660886334490359,-0.3849318624987719,12.969452261802694
0.21867821435372553,-0.06500397263476056,-0.4422796760928288,12.939886866610994
0.2197063983744023,-0.06390642223274767,-0.4997288387018246,12.909559100473581
0.22073398457956916,-0.0627960143954348,-0.5572761973283025,12.878468758276819
0.22176090860089215,-0.06167278202727718,-0.6149185782339328,12.84661566853622
0.22278710576713662,-0.060536758784750025,-0.6726527869394053,12.81399969339648
0.2238125397809702,-0.05938798626779078,-0.7304768099595736,12.780622068242495
0.22483727206210524,-0.05822652870797985,-0.7883927469401781,12.746488484767585
0.22586125510200908,-0.057052420231693386,-0.8463981598319312,12.711599384806672
0.2268844269204648,-0.05586569190862178,-0.9044899985681023,12.675954567190816
0.22790672562735353,-0.054666375589776245,-0.9626652094844967,12.639553878760847
0.2289280894226526,-0.05345450390749095,-1.0209207353193497,12.602397214367413
0.2299484565964373,-0.05223011027542085,-1.0792535152134288,12.564484516870936
0.2309677655288791,-0.050993228888543865,-1.1376604847099345,12.525815777141656
0.2319859546902474,-0.04974389472315869,-1.1961385757545966,12.486391034059585
0.23300296264090786,-0.048482143536887005,-1.254684716695579,12.446210374514562
0.23401872803132412,-0.04720801186867124,-1.3132958322835782,12.405273933406187
0.23503318960205596,-0.04592153703877685,-1.3719688436717201,12.363581893643893
0.23604628618376114,-0.044622757148789986,-1.430700668415664,12.321134486146871
0.23705795669719365,-0.04331171108161986,-1.4894882204735025,12.277931989844147
0.23806814015320543,-0.04198843850149639,-1.5483284102058583,12.2339747316745
0.23907677565274457,-0.040652979853972517,-1.607218144375786,12.189263086586553
0.2400838023868572,-0.03930537636592191,-1.666154326148874,12.143797477538683
0.2410891596366856,-0.03794567004554128,-1.7251338550931397,12.097578375499097
0.24209278677347007,-0.036573903682348016,-1.7841536271791347,12.050606299445768
0.24309462325854703,-0.03519012084718259,-1.8432105347798413,12.002881816366495
0.2440946086433509,-0.03379436589220615,-1.9023014666707787,11.954405541258836
0.24509268256941233,-0.032386683950902925,-1.9614233080298875,11.905178137130193
0.2460887847683599,-0.030967120938077772,-2.0205729404376496,11.855200314997717
0.2470828550619184,-0.0295357235498587,-2.0797472418769756,11.804472833888395
0.2480748333619106,-0.028092539263694316,-2.138943086733311,11.75299650083897
0.24906465967025543,-0.02663761633835638,-2.1981573457945243,11.700772170896029
0.2500522740789698,-0.025171003813937234,-2.257386886251028,11.647800747115902
0.2510376167701669,-0.023692751511852385,-2.3166285716956567,11.594083180564768
0.2520206280160577,-0.02220291003483793,-2.3758792621237843,11.539620470318555
0.25300124817894953,-0.020701530766953156,-2.435135813933211,11.484413663463028
0.25397941771124766,-0.01918866587357785,-2.494395079924272,11.42846385509371
0.2549550771554535,-0.017664368301415108,-2.553653909299733,11.37177218831596
0.25592816714416644,-0.016128691778488427,-2.6129091476648942,11.314339854244889
0.25689862840008215,-0.014581690814144642,-2.6721576370274853,11.256168092005453
0.2578664017359942,-0.013023420699051054,-2.731396215797768,11.19725818873235
0.2588314280547923,-0.0114539375051982,-2.7906217187884352,11.137611479570138
